id,name,date,is_hazardous,diameter_min_km,diameter_max_km,velocity_km_s,miss_distance_km,diameter_km,log_diameter,log_velocity,log_miss_distance,astrorisk_score,uncertainty_ratio,event_id
54290058,(2022 NU1),2025-06-04,False,0.0343997255,0.0769201245,7.5297967306,19768333.161739234,0.051439587558861945,-1.2887025213862966,0.8767832524388313,7.295970051752869,-9.408511111034096,1.2360679702631119,54290058_2025-06-04
54491558,(2024 TP17),2025-06-04,False,0.0382432662,0.0855145429,4.1601960021,29000928.052397758,0.05718702150047702,-1.2427025216761127,0.6191137923259369,7.4624118958846895,-9.952291876261153,1.2360679741416334,54491558_2025-06-04
54532865,(2025 KG),2025-06-04,False,0.0124324001,0.0277996916,3.4360190716,5832804.136499412,0.01859077428801203,-1.7307025195645227,0.5360555657270405,6.765877393219716,-10.885873820459203,1.236067955727487,54532865_2025-06-04
54533160,(2025 KA2),2025-06-04,False,0.1072889455,0.2399053753,23.6446993121,20691877.96087079,0.16043439386776998,-0.794702521904798,1.373733795497453,7.315799908308634,-6.952439883028122,1.236067975674094,54533160_2025-06-04
54534093,(2025 LB),2025-06-04,False,0.0116561459,0.0260639347,11.2066509782,152003.987181293,0.017430003602732638,-1.7587025206309028,1.049475846408551,5.181854979971898,-8.359010849047504,1.2360679764992648,54534093_2025-06-04
54533903,(2025 KV8),2025-06-04,False,0.018304378,0.0409298336,9.2670126023,1794956.206627244,0.027371429368805364,-1.5627025210333154,0.9669397536274643,6.2540538571192705,-9.008281912964287,1.2360679765460045,54533903_2025-06-04
54533905,(2025 KX8),2025-06-04,False,0.0279611466,0.0625230245,8.2608097291,3205943.255392877,0.04181166648101809,-1.3787025214590372,0.9170226191954225,6.505955831153545,-8.808018157139811,1.2360679721336318,54533905_2025-06-04
3151655,(2003 FY6),2025-05-10,False,0.0799015081,0.1786652037,23.4284759733,42896640.79670858,0.11948062278304253,-0.922702521973809,1.3697440385811805,7.632423284245946,-7.661042773005011,1.2360679769997132,3151655_2025-05-10
3703548,(2015 AP44),2025-05-10,False,0.0152951935,0.0342010925,18.1272738296,69612402.84720981,0.022871648993872278,-1.640702520721246,1.2583324952294417,7.842686624786124,-10.248129196490979,1.2360679762824318,3703548_2025-05-10
3736517,(2015 XY261),2025-05-10,False,0.0096506147,0.0215794305,16.8802770314,25876391.91871639,0.01443103493173405,-1.8407025190485473,1.2273795697934569,7.4129037202566295,-10.480252137815357,1.2360679653279705,3736517_2025-05-10
54054748,(2020 TG),2025-05-10,False,0.0200703514,0.0448786701,13.8196663532,40460116.99563022,0.030012175517140922,-1.522702520927321,1.1404975580403602,7.607027134254933,-9.894139580956175,1.236067973199174,54054748_2025-05-10
54146075,(2021 KH),2025-05-10,False,0.0142743051,0.0319183166,7.2445983121,6991011.10159101,0.021345064755741425,-1.670702521279438,0.8600143103549858,6.84453999178083,-10.136618934909173,1.23606797338199,54146075_2025-05-10
54151573,(2021 KZ2),2025-05-10,False,0.0237987955,0.0532157244,16.9620122408,54463032.06725602,0.03558749980512765,-1.4487025210027697,1.2294773722886452,7.736101815730032,-9.62325463416105,1.236067967237804,54151573_2025-05-10
54248949,(2022 EO),2025-05-10,False,0.0033616692,0.0075169209,7.6367481022,35563387.58689911,0.0050268679581192775,-2.2987025136942902,0.8829084656601692,7.551003122945674,-12.681293732708205,1.2360679558813235,54248949_2025-05-10
54358912,(2023 JF5),2025-05-10,False,0.0490405098,0.1096579137,12.9852081981,39413562.07169781,0.07333266660535674,-1.1347025218179239,1.1134489172771835,7.5956456867857876,-8.772855417685193,1.2360679777515935,54358912_2025-05-10
54373546,(2023 ML),2025-05-10,False,0.0667659413,0.1492931834,15.6143598988,36620074.37065237,0.09983836897392973,-1.0007025220925203,1.1935241852954153,7.563719221962705,-8.178778417649436,1.236067976718441,54373546_2025-05-10
54527450,(2025 HX2),2025-05-10,False,0.0356906927,0.079806815,14.2355142298,18962936.466874804,0.053370033816091504,-1.2727025212067795,1.1533731597986974,7.277905589996435,-8.78926683401938,1.236067972880594,54527450_2025-05-10
54529311,(2025 JK1),2025-05-10,False,0.0136318556,0.0304817558,8.024219934,1240453.734768057,0.020384378663576244,-1.690702519613442,0.9044028236585493,6.093580571018843,-9.356882482542071,1.2360679698215997,54529311_2025-05-10
54528923,(2025 JO),2025-05-10,False,0.0105816886,0.023661375,15.5942118753,1431516.663661473,0.015823315142466984,-1.8007025195318218,1.1929634305959531,6.1557964078197935,-9.171977105223354,1.2360679633298983,54528923_2025-05-10
54527379,(2025 FE29),2025-05-10,False,0.040978398,0.0916304836,6.5820304362,10495408.495462935,0.06127699752674957,-1.212702521868901,0.8183598862060877,7.020999346574724,-9.02238713976925,1.236067976019785,54527379_2025-05-10
54529103,(2025 JU),2025-05-10,False,0.0595052079,0.1330576898,16.26482046,19942214.760303363,0.08898104008294525,-1.0507025216822332,1.2112492736665532,7.2997733889187195,-8.029382406632312,1.2360679740838816,54529103_2025-05-10
54529550,(2025 JX1),2025-05-10,False,0.0250354255,0.0559809132,6.7648594334,850377.393461566,0.037436692987503135,-1.4267025209723607,0.8302587768553662,5.929611706330156,-8.549201715536505,1.2360679700208492,54529550_2025-05-10
54529697,(2025 JC2),2025-05-10,False,0.1295850727,0.2897610314,18.0676639101,17940960.278506164,0.19377488051756342,-0.712702522002697,1.2569020033359402,7.253845684666553,-6.878149244002763,1.2360679763417934,54529697_2025-05-10
54529811,(2025 JH2),2025-05-10,False,0.01034082,0.0231227764,5.4638041061,3786461.81411058,0.015463132562732818,-1.8107025181590817,0.7374951201900448,6.578233581389158,-10.535350895486314,1.2360679594454989,54529811_2025-05-10
54529549,(2025 JW1),2025-05-10,False,0.0170826395,0.0381979432,12.2998922472,1162986.362721719,0.025544504170703263,-1.5927025210336696,1.0899013068371217,6.065574622183797,-8.663879571610561,1.2360679727739499,54529549_2025-05-10
3127403,(2002 LD31),2025-06-21,False,0.1363185559,0.3048175575,10.4522826945,28793777.57800156,0.20384378639380993,-0.6907025220464014,1.0192111472325327,7.459298645553973,-7.492983917228112,1.2360679759547921,3127403_2025-06-21
3348143,(2006 TK),2025-06-21,False,0.2645787599,0.5916160926,7.9912240262,17751976.715126384,0.39563752617388503,-0.4027025222297056,0.9026133058663955,7.249246719569898,-6.6521276745262234,1.2360679772631786,3348143_2025-06-21
3709400,(2015 BL514),2025-06-21,False,0.0319561887,0.0714562102,4.8707241741,37807003.1693576,0.04778564781331383,-1.320702521128086,0.6875935364667309,7.577572253702319,-10.164492744153115,1.2360679725361992,3709400_2025-06-21
54110066,(2021 CE1),2025-06-21,False,0.0167708462,0.0375007522,7.3738733666,12108570.393468566,0.025078264444145883,-1.6007025206714252,0.8676956750905963,7.083092870898776,-10.14980908273186,1.236067973504712,54110066_2025-06-21
54231259,(2021 YB),2025-06-21,False,0.0083282735,0.0186225856,3.8928928881,10328685.214817455,0.012453673600747759,-1.904702517434368,0.5902724543979343,7.0140450417237865,-11.547607685231021,1.2360679529068306,54231259_2025-06-21
54535062,(2025 MR),2025-06-21,False,0.0325502986,0.0727846803,10.8123871827,1911453.004725954,0.04867404932066509,-1.3127025212746164,1.0339215890376765,6.281363624856176,-8.151628010604673,1.236067971935385,54535062_2025-06-21
54534886,(2025 MK),2025-06-21,False,0.0196134944,0.0438571068,12.3229407126,5598329.551308566,0.029329014961672374,-1.5327025214198267,1.0907143590378483,6.748058460064801,-9.164737306248584,1.2360679735067095,54534886_2025-06-21
54537505,(2025 MM89),2025-06-21,True,0.1453968429,0.3251172245,26.232539625,7058757.24500986,0.21741899184457306,-0.6627025221794617,1.4188403375509382,6.848728246498956,-5.999155137935464,1.236067977074303,54537505_2025-06-21
54534780,(2025 LC1),2025-06-21,False,0.0243531406,0.0544552779,8.0246576582,4119132.141973686,0.03641643913277042,-1.4387025213955895,0.9044265139388955,6.614805724369497,-9.122060260678476,1.2360679745918768,54534780_2025-06-21
54537656,(2025 MZ89),2025-06-21,False,0.0686364759,0.1534758258,17.3277448018,15274763.579949709,0.10263547056819244,-0.988702521746277,1.2387420431626646,7.183974497034536,-7.6725979759480385,1.236067974993355,54537656_2025-06-21
54537544,(2025 MX89),2025-06-21,False,0.1260535197,0.2818642388,16.0949931697,19304126.30367569,0.18849397703454956,-0.7247025220577588,1.2066907967209923,7.285650150426317,-7.046376123157609,1.236067976104226,54537544_2025-06-21
2813247,813247 (2006 TK),2025-06-21,False,0.2621530873,0.5861921237,7.9912244635,17751977.777271263,0.39201029958267486,-0.4067025221719217,0.902613329632088,7.2492467455548155,-6.664127652806405,1.2360679769739764,2813247_2025-06-21
3639439,(2013 LB),2026-04-06,False,0.0732073989,0.1636967205,6.2253128386,23528644.04147128,0.10947059475615041,-0.9607025219810794,0.7941611807809964,7.37159689945502,-8.665382103836265,1.2360679772272747,3639439_2026-04-06
3671119,(2014 JS54),2026-04-06,True,0.152249185,0.3404395273,20.4447380473,65809377.09317943,0.22766563327215256,-0.6427025221440918,1.3105815504346192,7.818287780083156,-7.125232245646194,1.236067977483053,3671119_2026-04-06
3789741,(2017 WY27),2026-04-06,False,0.0069912523,0.0156329154,6.401144509,44258070.46932059,0.01045436060914083,-1.9807025194203163,0.8062576317257538,7.6459924759537925,-11.975584770763234,1.2360679611567162,3789741_2026-04-06
3844004,(2019 SP2),2026-04-06,False,0.0417402433,0.0933340215,10.605268316,12933515.730156098,0.06241622197455907,-1.2047025218261829,1.0255216607571094,7.111716595620041,-8.67478083958437,1.2360679765465863,3844004_2026-04-06
54136202,(2021 GN6),2026-04-06,False,0.0107784169,0.0241012728,7.068071574,2167174.795875456,0.016117492548750577,-1.792702519200169,0.8493009386954071,6.335893941233371,-10.015399621443063,1.236067958773538,54136202_2026-04-06
54217199,(2021 VY4),2026-04-06,False,0.0137579896,0.0307638,19.9730787038,71548953.87162587,0.02057299298732394,-1.6867025198392265,1.3004450133464445,7.854603288255102,-10.313820821079892,1.2360679700174513,54217199_2026-04-06
54269642,(2022 GR2),2026-04-06,False,0.0523064176,0.1169607054,34.1200907974,37984978.15459939,0.07821633780383083,-1.1067025216156687,1.533010178204769,7.579611880974879,-7.833699089412347,1.236067974886378,54269642_2026-04-06
54352569,(2023 FT5),2026-04-06,False,0.0464039528,0.1037623929,20.1664863369,71350628.74405289,0.06939009426817819,-1.15870252188353,1.3046302364685431,7.853397804484577,-8.72024489719808,1.2360679751487291,54352569_2026-04-06
54354860,(2023 HH2),2026-04-06,False,0.0280902094,0.0628116177,14.4234716217,43866022.59264515,0.04200466038364965,-1.3767025212677269,1.1590698044007217,7.642128257966018,-9.454096212967755,1.2360679723659591,54354860_2026-04-06
54412460,(2023 XH),2026-04-06,False,0.0122054832,0.0272922901,5.6113501031,25571673.055275563,0.018251454416157532,-1.7387025195269714,0.7490673660380632,7.407759143157517,-11.125731969662304,1.2360679646335677,54412460_2026-04-06
54606983,(2026 FP6),2026-04-06,False,0.0355922118,0.079586605,4.662926035,26531571.94695135,0.053222770517917795,-1.2739025211271053,0.6686585265840883,7.423762981895726,-9.908153492108864,1.2360679724993433,54606983_2026-04-06
54607505,(2026 GK),2026-04-06,False,0.011517414,0.0257537205,17.9175818947,1001492.529938467,0.01722255094458388,-1.7639025194021605,1.2532793981494448,6.000647714270032,-8.785796476177625,1.236067955566519,54607505_2026-04-06
54607519,(2026 GR),2026-04-06,False,0.008817693,0.0197169611,14.5854019479,521187.848998472,0.013185526529977568,-1.8799025198010881,1.1639184020140116,5.716994281993678,-9.02886503736892,1.2360679801840688,54607519_2026-04-06
54607522,(2026 GV),2026-04-06,False,0.0106354281,0.0237815402,17.6647264575,2047803.340066613,0.01590367444662898,-1.7985025202738092,1.2471069166718158,6.311288247018234,-9.212581974496029,1.2360679657449052,54607522_2026-04-06
54607526,(2026 GX),2026-04-06,False,0.0052620501,0.0117663017,7.8277254579,920253.182238162,0.007868600195531298,-2.1041025151619652,0.8936355852324454,5.963907327912874,-10.488943702933877,1.2360679493327524,54607526_2026-04-06
54607543,(2026 GG1),2026-04-06,False,0.0100451165,0.0224615633,12.7897424153,185520.178212046,0.01502095270349469,-1.8233025184519644,1.1068617979034467,5.268391152816601,-8.524575112365602,1.2360679616202765,54607543_2026-04-06
54607546,(2026 GL1),2026-04-06,False,0.0557384614,0.1246349887,8.6767607106,7870013.374286661,0.08334844033780349,-1.079102521997857,0.9383576205639942,6.895975470398958,-8.25656779526454,1.2360679761496467,54607546_2026-04-06
54607727,(2026 HB),2026-04-06,False,0.0319561887,0.0714562102,16.8056975574,8726885.110480666,0.04778564781331383,-1.320702521128086,1.2254565435288383,6.940859258513678,-8.45205373484026,1.2360679725361992,54607727_2026-04-06
54607770,(2026 HM),2026-04-06,False,0.0334930715,0.0748927847,7.7784014459,22053712.924032208,0.05008382366384585,-1.300302521328296,0.8908903534788981,7.343481717008949,-9.46260857403604,1.2360679753241863,54607770_2026-04-06
2223456,223456 (2003 UB10),2025-04-23,False,0.5841911542,1.3062911326,7.6402433621,26648300.157995164,0.873569530418054,-0.058702522256836816,0.8831071922376372,7.425669511465875,-5.835562693761111,1.2360679772107257,2223456_2025-04-23
2439437,439437 (2013 NK4),2025-04-23,True,0.4330668855,0.9683669947,22.5641456338,28314051.392024852,0.647586039392237,-0.18870252223620188,1.3534188940933773,7.452002016002801,-5.311271794524652,1.2360679770247482,2439437_2025-04-23
3457390,(2009 HG),2025-04-23,False,0.0360209346,0.0805452583,6.257793733,23833519.35436455,0.053863860626252986,-1.2687025214774716,0.7964212440046755,7.377188176770598,-9.590453253193662,1.236067971884139,3457390_2025-04-23
3670392,(2014 JF15),2025-04-23,False,0.0224158379,0.0501233372,10.2193617216,22648352.833527707,0.03351949584469074,-1.47470252077223,1.0094237715912482,7.355036622184516,-9.76029664131871,1.2360679667652845,3670392_2025-04-23
3694127,(2014 UV34),2025-04-23,False,0.0262153087,0.0586192124,4.6566705977,14743029.425191337,0.03920102994586836,-1.4067025213122089,0.6680755180234659,7.168586732333227,-10.052543260222922,1.2360679764336784,3694127_2025-04-23
3735678,(2015 XT1),2025-04-23,False,0.0560473362,0.1253256538,14.5320605773,64314496.815539904,0.08381031591047373,-1.07670252181501,1.1623271995661046,7.808308876149391,-8.71376204246221,1.236067977061026,3735678_2025-04-23
3772987,(2017 FQ101),2025-04-23,False,0.02658,0.0594346868,7.3460047773,19321953.747205507,0.03974637059083508,-1.4007025213698634,0.8660512064483961,7.286051038162841,-9.75605618937564,1.236067971271377,3772987_2025-04-23
3879165,(2019 TY6),2025-04-23,False,0.0260948603,0.0583498816,12.858170609,52018468.577448115,0.03902091758113257,-1.40870252122634,1.1091791839156828,7.716157562428217,-9.72390675827587,1.236067976818914,3879165_2025-04-23
54068387,(2020 TM6),2025-04-23,False,0.0160160338,0.0358129403,8.8086163335,55564173.024943165,0.023949556620576132,-1.6207025204786172,0.9449076943511736,7.744794855021818,-10.717087027755323,1.236067969361628,54068387_2025-04-23
54143414,(2021 JY),2025-04-23,True,0.4619074603,1.0328564805,21.596122323,28919645.411073875,0.6907127577815191,-0.16070252223856948,1.3343757787036727,7.4611929636931,-5.274548973001463,1.236067977134582,54143414_2025-04-23
54145084,(2021 JV5),2025-04-23,False,0.0253837029,0.0567596853,15.8630731929,60525676.994923025,0.03795748922614215,-1.4207025214255273,1.2003873280931119,7.781939655833969,-9.643272563924327,1.2360679763705082,54145084_2025-04-23
54212588,(2021 UF1),2025-04-23,False,0.0258556212,0.0578149266,9.5831873144,26258433.822178576,0.0386631716479055,-1.412702521334081,0.9815099770200707,7.419268819138465,-9.694356429100566,1.2360679725766248,54212588_2025-04-23
54276655,(2022 HL2),2025-04-23,False,0.016238839,0.0363111479,17.7616487333,64735146.77273404,0.024282728113893797,-1.6147025209873491,1.249483276903367,7.811140137006192,-10.156281146161506,1.236067971139636,54276655_2025-04-23
54354403,(2023 GJ2),2025-04-23,False,0.0199781365,0.0446724713,18.723560538,50821577.921941504,0.02987428207377932,-1.5247025212475533,1.2723884392211622,7.7060481450148925,-9.735378830315229,1.2360679724254162,54354403_2025-04-23
54377397,(2023 QM1),2025-04-23,False,0.0209196771,0.04677782,19.9240100209,73690144.38514997,0.031282213633979324,-1.504702521007557,1.2993767514935874,7.867409407460673,-9.782763467496169,1.2360679685822302,54377397_2025-04-23
54525464,(2025 FS16),2025-04-23,False,0.0360209346,0.0805452583,13.1187333908,7873181.348540503,0.053863860626252986,-1.2687025214774716,1.117891906084071,6.896150254968424,-8.466474007232696,1.236067971884139,54525464_2025-04-23
54527150,(2025 HN),2025-04-23,False,0.0114433973,0.0255882143,11.4979035479,2001649.465053361,0.017111870220184625,-1.7667025196614954,1.060618661176623,6.3013880248305005,-9.48025826146174,1.2360679705137216,54527150_2025-04-23
54527123,(2025 HF),2025-04-23,False,0.0197949759,0.0442629117,9.1213699778,888170.916710933,0.029600393077885437,-1.5287025202298454,0.9600600717888568,5.948496548032937,-8.614483965144759,1.236067969973795,54527123_2025-04-23
54527389,(2025 HE2),2025-04-23,False,0.0287445144,0.0642746882,1.3904730266,28879302.9794763,0.04298307458198413,-1.3667025216119335,0.1431625685551087,7.460586707047869,-11.274369134773453,1.2360679739433411,54527389_2025-04-23
54527604,(2025 HX3),2025-04-23,False,0.0088829042,0.0198627775,10.174801531,1144385.228927836,0.013283039926101838,-1.8767025186827766,1.007525946664949,6.0585722435438045,-9.673627906262237,1.2360679490828244,54527604_2025-04-23
54527286,(2025 HH1),2025-04-23,False,0.0241298697,0.0539560289,17.9454648737,5279652.368848668,0.036082571234412254,-1.4427025211147018,1.2539547131296158,6.722605327976805,-8.542803465061679,1.2360679708267635,54527286_2025-04-23
54527650,(2025 HO4),2025-04-23,False,0.0302381333,0.0676145215,19.9169762665,4590051.665901148,0.04521655575265232,-1.3447025209635275,1.2992234058543672,6.661817574009916,-8.097478325191764,1.2360679710474456,54527650_2025-04-23
54554468,(2025 UH5),2025-04-23,False,0.01034082,0.0231227764,9.5850268265,13905286.648955936,0.015463132562732818,-1.8107025181590817,0.981593332720398,7.143179946006842,-10.61210083504329,1.2360679594454989,54554468_2025-04-23
2886662,886662 (2021 JY),2025-04-23,True,0.4619074603,1.0328564805,21.5961222294,28919645.500832595,0.6907127577815191,-0.16070252223856948,1.334375776821392,7.4611929650410325,-5.274548978113957,1.236067977134582,2886662_2025-04-23
2523809,523809 (2007 TV18),2025-05-11,False,0.0464039528,0.1037623929,7.2128687032,20693899.491847888,0.06939009426817819,-1.15870252188353,0.8581080267483244,7.3158423354323014,-9.075733847586243,1.2360679751487291,2523809_2025-05-11
